Fecha,R1,R2,R3,R4
16/04/2006 00:00,74.5,67.6,45.7,40.2
16/05/2006 00:00,26.5,7.1,5.5,3.0
16/06/2006 00:00,12.0,10.2,11.3,7.4
16/07/2006 00:00,9.3,1.3,4.9,1.9
16/08/2006 00:00,24.3,23.5,14.7,16.9
16/09/2006 00:00,44.9,33.1,32.1,12.7
16/10/2006 00:00,112.2,68.4,58.8,41.1
16/11/2006 00:00,91.6,96.8,88.2,73.3
16/12/2006 00:00,121.0,131.4,85.2,75.3
16/01/2007 00:00,116.5,146.8,92.9,88.7
16/02/2007 00:00,101.0,90.7,79.7,51.1
16/03/2007 00:00,162.4,189.1,126.9,105.7
16/04/2007 00:00,69.4,93.6,46.2,37.5
16/05/2007 00:00,33.8,24.4,19.2,12.9
16/06/2007 00:00,6.6,1.3,0.4,0.0
16/07/2007 00:00,11.8,4.0,9.7,10.0
16/08/2007 00:00,8.5,5.3,2.0,2.3
16/09/2007 00:00,29.0,16.6,28.9,10.2
16/10/2007 00:00,93.8,58.0,61.2,38.9
16/11/2007 00:00,101.8,62.0,71.0,46.4
16/12/2007 00:00,90.1,99.1,87.4,70.1
